source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
25033,84.6,8.93,4.17,3.3,1.36,1.57,,,,,0.27,0.022,0.22,0.71,,,0.01,64.0,16.9,0.053,0.88,1.18,0.44,0.05,0.0025,0.0025,0.004,0.006,0.044,0.52,409.0,1.75,3.8
25035,,10.5,,13.9,1.7,,,,,,,,,,,,,,17.5,0.07,6.7,,,,,,,,,,,2.15,
25058,145.0,9.55,10.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25063,108.0,14.9,0.5,5.0,1.2,0.5,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,
25121,133.0,13.0,4.0,7.0,1.35,1.0,,,,,,,,,,,,65.0,14.0,0.03,1.0,3.87,1.75,,,,,,,,,1.3,3.3
25125,193.0,14.5,2.6,13.8,1.74,0.41,,,,,,,,,,,,63.3,27.6,0.088,5.45,3.05,1.28,,,,,,,,,1.0,5.54
25126,164.0,23.9,8.8,3.4,1.51,,,,,,,,,,,,,59.6,27.6,0.083,0.65,1.63,0.81,,,,,,,,,1.03,5.4
25172,104.0,11.3,3.65,4.6,1.3,1.34,,,,,0.35,0.028,0.52,1.24,0.02,,0.005,49.8,17.1,0.064,1.8,1.51,0.63,0.047,0.029,0.044,0.041,0.16,0.19,0.83,471.0,1.13,7.06
25174,124.0,10.6,3.15,6.9,1.56,1.49,0.45,0.22,0.2,,0.38,0.05,1.3,1.86,0.02,0.01,0.01,37.3,18.0,0.05,3.03,2.06,1.37,0.08,0.06,0.13,0.12,0.56,0.44,1.19,625.0,0.51,20.0
25175,189.0,10.6,1.2,14.7,1.6,1.2,,,,,,,,,,,,23.0,51.3,0.04,,,,,,,,,,,,2.4,2.8
25200,120.0,13.5,2.08,6.07,2.25,1.38,,,,,,,,,,,,,,,2.2,,,,,,,,,,,1.0,
25201,180.0,9.5,4.5,13.5,1.08,2.5,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,
25207,136.0,10.0,11.4,5.4,1.84,7.9,2.7,0.2,0.7,,0.45,0.056,1.21,1.97,0.0094,0.01,0.01,29.0,9.9,0.04,1.44,2.2,1.27,0.01,0.01,0.01,0.01,0.01,0.048,0.94,805.0,0.49,20.0
25211,117.0,9.0,5.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25213,276.0,22.0,0.48,20.5,1.81,0.3,0.3,0.2,0.2,,2.88,0.23,2.07,7.77,0.07,0.01,0.01,89.5,24.0,0.07,8.19,8.77,2.51,0.01,0.01,0.01,0.01,0.03,0.4,4.71,558.0,0.94,20.0
25538,271.0,15.2,0.55,23.0,2.04,0.5,,,,,,,,,,,,55.6,112.0,0.1,7.38,10.0,4.0,,,,,,,,,1.84,9.12
25565,172.0,26.0,9.3,3.3,2.02,6.6,1.4,0.2,0.2,,0.16,0.07,0.68,1.18,0.03,0.01,0.01,86.6,9.8,0.06,1.2,1.18,0.78,0.01,0.01,0.01,0.01,0.07,0.04,0.64,706.0,0.61,20.0
25585,139.0,21.9,0.33,5.2,1.83,,,,,,0.64,0.12,0.51,2.03,0.04,0.01,0.01,60.2,23.0,0.1,1.8,2.35,0.71,0.01,0.01,0.01,0.01,0.01,0.08,1.03,445.0,2.4,20.0
25586,137.0,23.1,1.39,4.0,2.05,,,,,,0.24,0.09,0.87,1.48,0.03,0.01,0.01,76.9,13.0,0.05,1.02,1.69,0.99,0.01,0.01,0.01,0.01,0.02,0.03,0.73,465.0,0.61,20.0
25009,138.0,5.99,9.39,8.22,1.39,1.47,0.18,0.94,0.2,,0.8,0.025,0.38,2.44,0.0033,0.00089,8.2e-05,20.0,59.6,0.079,4.7,2.75,0.41,0.1,0.059,0.045,0.096,0.14,0.54,2.29,482.0,0.71,4.55
25029,149.0,8.31,12.2,7.2,1.4,1.38,,,,,,,,,,,,17.5,31.6,0.1,,,,,,,,,,,607.0,1.24,3.0
25043,90.7,5.9,11.5,1.9,1.65,2.1,,,,,,,,,,,,16.0,22.0,,0.4,0.75,0.59,,,,,,,,,0.78,2.3
25057,168.0,3.2,16.2,9.6,1.55,1.7,0.6,0.2,0.2,,0.54,0.12,2.52,3.46,0.01,0.01,0.01,10.5,26.0,0.08,2.9,3.67,2.64,0.02,0.02,0.02,0.03,0.03,0.13,1.47,465.0,0.49,20.0
25127,132.0,7.69,14.0,4.53,1.33,1.57,0.48,0.1,0.31,,0.31,0.07,0.52,1.93,0.0086,,0.01,20.0,25.2,0.098,1.54,2.14,0.6,0.01,0.01,0.0036,0.0036,0.014,0.067,0.84,474.0,0.93,5.8
25138,130.0,7.5,15.6,3.85,1.24,2.87,,,,,,,,,,,,26.6,18.4,,1.17,1.61,0.86,,,,,,,,674.0,0.86,3.0
25152,128.0,7.59,12.5,4.73,1.33,1.97,0.6,0.1,0.55,,0.35,0.067,,,,,,,25.2,0.098,1.24,1.54,0.63,0.05,0.05,0.05,0.003,0.007,0.059,0.7,474.0,,
25195,146.0,6.82,8.51,9.06,1.32,1.96,0.3,,0.3,,,0.06,0.53,,,,,,,,4.5,3.56,0.65,,,,,,,,,,
25587,168.0,7.0,10.5,10.2,1.47,1.7,0.2,1.7,0.2,,0.72,0.069,0.92,3.51,0.03,0.01,0.01,37.9,39.0,0.07,4.7,3.89,1.02,0.11,0.07,0.05,0.09,0.14,0.4,3.04,498.0,0.68,20.0
25002,129.0,8.06,9.41,5.77,1.63,1.06,0.2,,0.28,,0.63,0.14,0.53,,,,,21.3,45.7,0.14,2.07,2.63,0.8,0.05,0.05,0.05,0.0055,0.0055,0.063,1.37,495.0,1.23,6.0
25003,109.0,5.06,2.8,8.06,1.6,0.66,0.28,,0.28,,0.98,0.074,0.82,,,,,34.7,27.1,0.076,3.22,3.45,0.96,0.05,0.05,0.05,0.0075,0.0075,0.1,1.86,633.0,0.83,17.8
25010,118.0,8.24,8.89,4.87,1.64,1.51,0.22,,0.28,,0.48,0.043,0.56,,,,0.01,27.0,20.0,0.2,1.89,1.97,0.6,0.05,0.05,0.05,0.004,0.004,0.056,1.0,610.0,1.8,2.0
25013,77.5,10.9,3.2,2.02,0.78,1.5,0.4,,0.2,,0.2,0.0079,0.04,0.97,0.002,,0.01,28.8,23.5,0.15,0.82,0.97,0.05,0.01,0.01,0.01,0.0014,0.0015,0.053,0.57,304.0,1.69,6.0
