source_id,calories_kcal,proteines_g,glucides_g,lipides_g
20138,,1,5.4,0.1
20139,,1.1,1.6,0.17
20145,,0.64,5.41,0.57
20151,,1.87,7.7,0.32
20159,23.2,2,2.45,0.3
20160,31.6,3.13,3.03,0.43
20161,25.3,2.3,2.45,0.4
20162,,1.4,1.6,0.1
20163,,1.9,0.5,0.5
20166,,1,6,0.1
20167,,1.38,1.65,0.2
20168,30.7,0.94,4.73,0.3
20171,,1.24,1.2,0.3
20172,33.7,1.31,5.62,0.5
20173,,3.08,6.2,0.27
20181,58.3,1.54,10.1,0.4
20183,,2.57,3.4,0.5
20192,19.8,0.5,3.23,0.5
20195,,1.85,5.6,0.16
20197,,3.13,15.3,0.3
20198,35.1,2.52,5.08,0.2
20199,,2.55,2.2,0.6
20200,,1.01,2.45,0.18
20201,,1.17,5.7,0.13
20203,,2,4.9,0.17
20204,,2.79,1.56,0.44
20206,,3.43,4.5,0.33
20208,,0.63,4.99,0.27
20210,14.7,0.56,2.23,0.5
20214,,3.89,7.1,0.37
20217,,2.58,2.1,0.66
20218,,4.33,4.2,1.07
20228,15.9,1.8,0.83,0.25
20230,,1.19,2.18,0.14
20231,,1.4,8.7,0
20232,,2.08,8.09,0.43
20233,,3.28,19.8,0.78
20234,,0.82,2,0.18
20235,,1,5.39,0.12
20236,26.7,1.42,3.35,0.29
20237,,2.65,4.15,0.15
20238,36.3,1.31,5.63,0.4
20239,37.8,1.19,6.39,0.5
20263,34.1,1.44,4.69,0.44
20265,,1.19,4.08,0.25
20266,,1.01,3.23,0.089
20267,,2.4,8.48,0.078
20269,,1.93,4.47,0.12
20270,18.3,2.06,0.85,0.4
20272,,2,2.5,0
20276,20.3,0.5,3.59,0.5
20279,,2.46,2.03,0.27
20280,,2.93,2.2,0.4
20282,,2.5,2.5,0.3
20283,,0.67,1.1,0.24
20288,17.9,1.13,2.58,0.3
20295,14.3,1.13,1.03,0.5
20496,46.5,2.05,6.75,0.7
20584,20.1,0.5,3.03,0.5
25604,,1.01,1.5,0.1
53100,,1.28,29.6,0.39
13177,,0.62,2.29,0.48
20000,,2.53,0.99,0.28
20001,,2.68,0.81,0.32
20002,,1.33,4.17,0.28
20003,42.8,1.44,7.13,0.4
20005,14.7,0.7,1.23,0.5
20006,,2.1,1.1,0.78
20007,21.9,0.67,3.4,0.2
20008,18.9,0.55,2.6,0.1
20011,24.9,1.87,2.56,0.29
20013,,2.6,4.2,0.11
20015,,1.03,3.04,0.45
20017,20.9,1.6,1.6,0.46
20018,,2.45,4.03,0.5
20021,15.5,0.93,1.4,0.36
20024,,0.83,1.2,0.16
20025,,1.3,4.6,0.86
20027,,3.2,0.5,0.14
20029,,1.56,2.36,0.12
20030,29.4,2,3,0.17
20033,,0.9,3.8,0.2
20035,,1.3,6.2,0.2
20036,81.5,5.12,10.7,0.8
20037,,5.8,4.7,0.87
20040,,1.1,3,0.2
20043,,1.1,5.19,0.28
20046,,2.73,12.3,0.17
20048,18.3,1.07,1.89,0.28
20049,,3.41,18.6,1.5
20051,40.4,2.32,5.59,0.28
20060,,2.81,0.93,0.5
20062,23.1,1.33,2.07,0.31
20063,,1.22,3.48,0.23
20066,106,2.82,18.4,1.68
20067,,1.5,6.5,0.2
20068,99.2,4.4,17.1,0.53
20071,36.3,1.95,5.1,0.19
20074,47.3,2.63,3.24,0.3
20076,,1.58,1.43,0.27
20077,,2.5,4.1,0.53
20078,13.1,0.63,1.38,0.15
20079,19.4,2.23,0.7,0.37
20081,,1.25,4.25,0.15
20086,,0.92,2.36,0.2
20088,,1.4,7,0.3
20093,49,2.51,7.39,0.33
20094,,1.8,4.4,0.11
20095,,1.51,3.32,0.09
20096,,0.81,4.5,0.07
20102,28.7,2.17,3,0.47
20118,,1.13,0.8,0.1
20121,,4.01,0.51,0.87
20122,18,1.61,1.05,0.22
20124,,5.15,7.95,0.27
20125,38.4,4.44,4.53,0.6
20133,67.8,1.32,13.4,0.3
20135,,1.1,0,5.2
20141,,1.23,,0.07
20143,,0.66,5.06,0.26
20155,26,1.8,2.31,0.5
20156,25.2,1.2,3.02,0.5
20158,,1.3,1,0.17
20165,,0.93,4.26,0.18
20169,26.1,1.2,3.63,0.5
20170,47.1,1.4,7.54,0.4
20188,,1.61,1.9,0.15
20205,,3.1,2.36,0.11
20207,,3.64,4.22,0.39
20209,32.9,0.58,4.52,0.68
20212,60.9,1.56,12.3,0.22
20215,,3.09,7.02,0.42
20216,30.5,2.25,3.39,0.3
20219,,1.9,3.63,0.4
20221,,1.53,0.75,0.17
20241,,0.76,3.63,0.11
20242,,0.95,2.8,0.11
20243,,3.5,5.92,0.38
20255,,2.13,13.5,0.5
20257,,1.7,4.2,2.9
20258,61.8,1.94,4.25,3.4
20259,,2.5,2.75,0.38
20260,,2.05,8.53,0.2
20261,31.5,0.88,5.06,0.3
20264,,2.8,6.5,1.9
20268,92.8,3.73,17,0.29
20271,54.5,3.48,6.8,0.28
20275,,0.91,4.42,0.77
20277,18.6,1.44,1.63,0.3
20278,,1.37,2.83,0.18
20284,,4.8,8,2.8
20285,,3.7,5.2,2.2
20289,31.1,0.88,4.13,0.6
20290,35.8,3,2.03,0.8
20291,44.8,1.31,7.05,0.5
20292,30.7,1.06,5.24,0.5
20298,44.4,1.44,4.57,1.6
20299,26.6,2.69,1.73,0.3
20300,33.8,1.31,3.83,0.3
20301,16.9,0.88,1.43,0.3
20302,23.5,2.5,1.23,0.4
20303,23.1,2.19,1.03,0.5
20304,37.6,4.13,2.53,0.7
20305,35.7,0.75,6.33,0.3
20306,31.6,0.5,5.73,0.3
20307,41.6,0.63,7.33,0.3
20308,23.5,1,3.23,0.3
20309,45.4,3.19,5.4,0.3
20310,34.9,1.19,5.7,0.3
20311,21.6,1.63,1.83,0.3
20312,30.1,2.56,3.41,0.3
20313,23,1.5,3.13,0.3
20314,16.7,0.75,2.48,0.3
20315,26.2,0.94,4.32,0.3
20316,23.5,1.13,4.38,0.3
20317,13.7,0.5,1.94,0.3
20318,34.6,2.19,4.45,0.3
20320,28,1.75,3.39,0.3
20321,21.1,0.75,3.23,0.3
20322,40.2,1.56,6.73,0.3
20323,27.6,1.13,3.56,0.3
20324,42.4,1.69,7.55,0.3
20325,90.8,1.94,16.6,0.5
20326,80.3,6.38,9.93,0.6
20327,27.4,2.56,2.23,0.3
20328,35.8,1,5.33,0.6
20329,35.7,0.94,6.53,0.3
20330,28.6,1.25,3.53,0.3
20331,38.2,1.06,6.88,0.3
20332,30.2,0.5,5.66,0.3
20333,57.9,2.63,9.29,0.3
20334,25.3,1,3.53,0.4
20335,66.9,2,12.3,0.4
20336,28.1,3.38,0.85,0.7
20497,,1.53,2.55,0.43
20499,43.5,2.11,5.81,0.3
20590,50.8,2.13,9.11,0.5
58103,,1.87,2.01,0.21
20092,,8.1,56,1.49
20180,,8.95,75,0.46
20189,,14.2,43.3,2.99
20202,,7.27,,0.075
20211,316,9.58,63.9,0.99
20256,187,4.27,13.4,11.7
20800,,1.06,,0.057
20801,,,12.3,
20802,,,13.9,
20803,,3.25,,0.0033
20804,,1.21,5.93,0.033
20805,,1.23,4.6,0.023
20808,,0.73,,0.58
20809,,0.42,,0.27
20810,,2.25,,0.1
20811,,1.15,,0.3
20812,,,50.1,
20813,,1.29,,0.11
20814,,1.1,4.51,0.097
20815,,,3.75,
20816,,,2.42,
20817,,1.03,5.62,0.05
20818,,,3.51,
20819,,,4.37,
20821,,1.8,4.69,0.3
20822,,0.24,5.28,0.1
20823,,1.65,17.9,0.3
20824,,2.04,27.6,0.37
20825,,2.25,18.4,0.3
20826,,1.23,,0.18
20827,,0.6,,0
20828,,2.58,,0.8
20829,,0.67,,0.0033
20830,,0.63,,0
20831,,,19.3,
20832,,1.48,25.2,0.067
20833,,16.3,,0.74
20834,,1.13,,0.05
20835,,1.06,,0.06
20296,17.7,1.69,1.7,0.3
20297,22.2,0.63,3.5,0.3
4000,354,0.19,87.8,0.02
4002,91.9,1.96,20.1,0.1
4003,80.5,1.8,16.7,0.34
4004,545,5.67,51.1,34.3
4007,,1.44,,0.3
4008,80.5,2.16,16.2,0.18
4011,59.9,1.47,11.7,0.34
4013,181,2.76,24.9,7.22
4014,73.6,1.7,15.4,0.2
4015,137,2.5,17.3,5.7
4016,371,10.6,69.4,3.97
4017,97.9,1.92,10.2,5.18
4018,88.8,1.89,14.2,2.4
4019,67.3,2.63,12.1,0.53
4020,285,4.62,25.6,17.7
4021,302,4.5,30.2,17.7
4022,361,8.04,76.1,0.46
4023,76.4,1.88,15.9,0.3
4025,174,3.25,25.3,5.8
4026,89.4,2.5,18.5,0.13
4027,156,2.81,23,4.8
4028,76.1,1.81,15.7,0.5
4029,71.6,1.84,14.9,0.1
4030,213,3.75,32.6,6.6
