id,source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
3193,25125,801.00,14.50,2.60,13.80,0.2,0.41,5.45,3.05,1.28,,27.6,1,37.2,133,272,510,1.25,0.088,,5.54,24.9,1160,0.1,0.68,,1.34,0.084,0.14,3.51,0.59,0.28,14.3,0.41
3194,25126,691.00,23.90,8.80,3.40,1.17,,0.65,1.63,0.81,,27.6,1.03,38.6,130,264,251,1.09,0.083,,5.4,26.1,1160,0.14,0.69,,1.33,0.082,0.11,3.97,0.56,0.31,13.8,0.28
3195,25172,436.00,11.30,3.65,4.60,1.08,1.34,1.8,1.51,0.63,,17.1,1.13,14.2,142,198,341,2.4,0.064,,7.06,12.1,542,0.23,0.81,,1.27,0.061,0.067,2.61,0.42,0.16,14.8,0.74
3196,25174,517.00,10.60,3.15,6.90,1.1,1.49,3.03,2.06,1.37,,18,0.51,18,110,210,427,0.44,0.05,,20,21.3,412,0.25,1.65,3.22,2.51,0.032,0.01,4.08,0.62,0.17,17.5,0.15
3197,25175,783.00,10.60,1.20,14.70,4.7,1.2,,,,,51.3,2.4,30.6,88,228,373,2,0.04,,2.8,0,143,0,5.1,,1.5,0.03,0.14,1.36,0.32,0.12,20,0.66
3198,25200,501.00,13.50,2.08,6.07,1.45,1.38,2.2,,,,,1,,,,901,,,,,,,,,,,,,,,,,
3199,25201,746.00,9.50,4.50,13.50,1,2.5,6,,,,,,,,,430,,,,,,,,,,,,,,,,,
3200,25207,569.00,10.00,11.40,5.40,0.7,7.9,1.44,2.2,1.27,,9.9,0.49,12,94,160,536,1.1,0.04,,20,21,64.5,0.25,0.62,1.5,0.5,0.19,0.034,1.93,0.31,0.094,9.1,0.27
3201,25211,487.00,9.00,5.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3202,25213,1150.00,22.00,0.48,20.50,0.9,0.3,8.19,8.77,2.51,,24,0.94,18,180,260,428,2.3,0.07,,20,21,,0.25,0.08,0.87,1.62,0.16,0.071,3.83,0.59,0.22,11.9,1.61
3203,25538,1120.00,15.20,0.55,23.00,0.36,0.5,7.38,10,4,,112,1.84,22.6,187,242,437,2.79,0.1,,9.12,23.6,98.3,0.38,3.18,,5.87,0.088,0.17,2.11,0.28,0.27,12,2.04
3204,25565,727.00,26.00,9.30,3.30,0.6,6.6,1.2,1.18,0.78,,9.8,0.61,31,220,340,475,1.5,0.06,,20,21,10.5,0.25,0.5,0.8,,0.09,0.042,7.69,1.36,0.25,31.8,0.41
3205,25585,583.00,21.90,0.33,5.20,3,,1.8,2.35,0.71,,23,2.4,25,200,430,345,4.4,0.1,,20,21,,0.25,0.65,3.71,10.8,0.041,0.14,4.72,0.54,0.31,19.8,1.94
3206,25586,576.00,23.10,1.39,4.00,3,,1.02,1.69,0.99,,13,0.61,33,230,520,299,1.1,0.05,,20,21,,0.25,0.74,2.41,8.49,0.071,0.07,8.91,1.71,0.47,88.3,0.7
3207,25009,577.00,5.99,9.39,8.22,1.43,1.47,4.7,2.75,0.41,,59.6,0.71,17.5,45.5,184,322,1.2,0.079,,4.55,45.9,0,0.1,0.2,,0.65,0.02,0.07,,,0.08,5.71,0.42
3208,25029,626.00,8.31,12.20,7.20,1.3,1.38,,,,,31.6,1.24,23.2,95.4,187,322,1.22,0.1,,3,0,724,0.14,0.4,,5,0.075,0.075,1.7,0.3,0.11,18,0.5
3209,25043,382.00,5.90,11.50,1.90,2,2.1,0.4,0.75,0.59,,22,0.78,17,88,148,300,,,,2.3,34,779,0.04,0.97,,7,0.07,0.07,2,0.3,0.13,18,0.04
3210,25057,702.00,3.20,16.20,9.60,2.1,1.7,2.9,3.67,2.64,,26,0.49,20,88,390,260,0.45,0.08,,20,21,22.6,0.25,1.49,3.13,3.04,0.086,0.056,1.28,0.41,0.15,23.8,0.15
3211,25127,553.00,7.69,14.00,4.53,2.1,1.57,1.54,2.14,0.6,,25.2,0.93,18.8,72.3,179,345,1.02,0.098,,5.8,10.6,700,0,0.4,,1.69,0.07,0.09,1.9,0.3,0.15,17.2,0.28
3212,25138,547.00,7.50,15.60,3.85,1.47,2.87,1.17,1.61,0.86,,18.4,0.86,18.4,69,153,307,,,,3,14,700,0.01,0.48,,4.05,0.08,0.09,1.9,0.3,0.14,19.1,0.13
3213,25152,537.00,7.59,12.50,4.73,2.53,1.97,1.24,1.54,0.63,,25.2,,18.8,,179,313,1.02,0.098,,,,,,,,,,,,,,,
3214,25195,608.00,6.82,8.51,9.06,1.55,1.96,4.5,3.56,0.65,,,,,,,310,,,,,,,,,,,,,,,,,
3215,25587,699.00,7.00,10.50,10.20,1.2,1.7,4.7,3.89,1.02,,39,0.68,14,74,290,296,0.89,0.07,,20,37.7,,0.25,0.08,1.59,0.5,0.08,0.071,1.4,0.55,0.11,45.9,0.61
3216,25002,539.00,8.06,9.41,5.77,3.55,1.06,2.07,2.63,0.8,,45.7,1.23,34.8,107,289,388,0.88,0.14,,6,3.5,0,0.5,0.18,,2.94,0.083,0.057,1.25,0.16,0.091,30,0.12
3217,25003,454.00,5.06,2.80,8.06,2.71,0.66,3.22,3.45,0.96,,27.1,0.83,18,60.6,97.5,552,0.84,0.076,,17.8,0,0,0,0.25,,9.09,0.14,0.11,0.68,,0.02,10,
3218,25010,494.00,8.24,8.89,4.87,2.83,1.51,1.89,1.97,0.6,,20,1.8,19.4,145,167,384,1.2,0.2,,2,2,280,0.5,0.39,,0.5,0.24,0.075,1.5,0.23,0.14,22.9,0.13
3219,25013,326.00,10.90,3.20,2.02,1.5,1.5,0.82,0.97,0.05,,23.5,1.69,16.2,,189,130,3.48,0.15,,6,,718,,,,,,,,,,4.6,
3220,25065,406.00,13.20,3.30,3.15,1.1,0.6,1.21,1.47,0.44,,15.9,0.9,11.3,95,119,231,3.5,0.1,,3.5,0,456,0,0.4,,2,0.07,0.16,1.77,0.44,0.16,9.5,0.8
